Topic,TimeQueried,video_title,video_id,publishedAt,duration,viewcount,likeCount,dislikeCount,favoriteCount,score
computer network,11:08:41:343,Computer Networking Complete Course - Beginner to Advanced,QKfk7YFILws,(2019-02-17T13:15:59Z),PT5H19M28S,1195373,30758,500,0,1195376.4814245438
computer network,11:08:41:783,What is Computer Network ? (in Hindi),lY8bv9D81LE,(2017-08-19T18:02:51Z),PT4M9S,72051,1879,66,0,72051.02898653246
computer network,11:08:42:003,Computer Networks: Crash Course Computer Science #28,3QhU9jd03a0,(2017-09-13T20:55:06Z),PT12M20S,595265,11150,211,0,595266.1373196742
computer network,11:08:42:323,Basic Of Computer Network  Part -1,jExP6TBZUOk,(2017-09-27T18:28:59Z),PT10M23S,358819,9036,299,0,358819.8845943737
computer network,11:08:42:953,Computer Networking Full Course in One Video | Full Tutorial for Beginners to Expert [HINDI],L3ZzkOTDins,(2020-06-18T06:24:15Z),PT4H46S,97106,5672,104,0,97106.48243358315
computer network,11:08:43:317,Types of Computer Network ? Difference b/w LAN MAN WAN Networks kya hai hindi mai,nMYapL6RQzU,(2017-03-14T13:07:03Z),PT3M44S,214079,7590,238,0,214079.7117273989
computer network,11:08:43:592,"Types of Networks ( LAN ,MAN,WAN)  in Hindi | Computer Network Lectures for Beginners",LN1NlN5Q3YI,(2018-11-26T10:30:03Z),PT8M35S,209866,4735,216,0,209866.3704167399
computer network,11:08:43:791,What is Computer Network  | TechTerms,aHJElrgj6UA,(2017-04-04T16:18:32Z),PT1M54S,69776,1248,66,0,69775.95355149714
computer network,11:08:44:233,What is Computer Network lec-1,WtTi2H82wMg,(2019-11-03T11:20:43Z),PT6M18S,6217,211,9,0,6216.829579814684
computer network,11:08:44:552,Part 1: Blue Print of Computer Networks in Hindi|Marks Distubution|Intro of Computer Neworks Hindi,7NFJGH4PzAs,(2018-10-07T12:30:00Z),PT12M54S,47396,1016,13,0,47395.92581627021
computer network,11:08:44:871,"Computer Networks Lecture1,Introduction to Computer network and IP address",UXMIxCYZu8o,(2014-05-29T07:56:04Z),PT49M4S,1914813,10758,385,0,1914814.0904567046
computer network,11:08:45:239,computer network lecture | Introduction | CN | Lec-1 | Bhanu Priya,PwFqQfyv0xM,(2018-04-20T09:56:21Z),PT8M36S,163493,1496,63,0,163492.98319949835
computer network,11:08:45:522,SEE Computer Chapter 1: Computer Networking and Telecommunication,M9SxIMGb43M,(2018-07-26T14:31:21Z),PT26M31S,18801,457,20,0,18800.858988719105
computer network,11:08:45:829,transmission media | computer networking |,VyaLZaaUPVM,(2018-05-11T15:58:19Z),PT9M13S,39987,471,18,0,39986.86066239659
computer network,11:08:46:181,MAN | Metropolitan area network |Computer networks |,nDMIp9gtUx0,(2018-04-23T17:19:32Z),PT8M34S,35094,296,26,0,35093.839741428
computer network,11:08:46:480,Computer Network Support Specialist,PCXANYO63Jw,(2014-07-23T14:27:28Z),PT4M5S,9855,62,0,0,9854.811767104282
computer network,11:08:46:840,NETWORK TOPOLOGY || COMPUTER NETWORKS,RTZN3GKGLWw,(2019-08-09T00:30:01Z),PT20M25S,42253,517,19,0,42252.86616162262
computer network,11:08:47:110,Lec 3.16: What is Routing Protocols | Various types of Routing Protocols,rA0p0ouD3aE,(2019-09-27T14:30:02Z),PT6M57S,80994,1412,33,0,80993.97315743341
computer network,11:08:47:467,"Repeaters,Hubs,Bridges,Routers,Gateway,Switches in Hindi |Network Connecting Device|Computer Network",FtsRn_YSJzE,(2018-11-28T16:06:59Z),PT11M18S,104564,1896,219,0,104564.03101885512
computer network,11:08:47:749,ISO OSI AND TCP IP REFERENCE MODELS || COMPUTER NETWORKS,K1DxJOfuiP0,(2019-08-09T09:36:26Z),PT29M19S,49446,671,35,0,49445.88457207498
computer network,11:08:48:070,circuit switching | computer networks |,teqgcpO9iAQ,(2018-05-16T13:44:33Z),PT14M39S,54818,522,32,0,54817.86675936458
computer network,11:08:48:391,Lec1.3: Manchester encoding and differential manchester encoding in hindi | Computer Network,3IaB2a8tXLA,(2018-12-18T17:37:29Z),PT7M50S,90533,1668,53,0,90533.00376182176
computer network,11:08:48:710,Switching in Computer Network,Hs7IhtjpOQ0,(2019-11-23T12:43:20Z),PT14M27S,1677,75,3,0,1676.8133212333776
computer network,11:08:48:939,CN | Difference between Computer Network and Distributed System | Network Criteria,zXu93Gsco0k,(2017-09-14T18:43:39Z),PT15M8S,8091,102,28,0,8090.816549039961
computer network,11:08:49:350,bluetooth | Computer networks |,ehj6o363Yx0,(2018-04-23T17:33:48Z),PT14M28S,29177,257,16,0,29176.835079040713
computer network,11:08:49:700,CN2: Goals of Computer Network | Application of Computer Network | Goals and Application of CN,MGTMrVM1kxQ,(2020-02-12T11:00:05Z),PT11M55S,2176,48,0,0,2175.8100934267945
computer network,11:08:49:990,"Lec1.2:Topologies in Computer Networks |Part 2 | All imp points of Mesh,Star,Hub,Bus,Hybrid",7t0YJWTjmdI,(2018-11-14T13:43:37Z),PT8M30S,68258,1103,13,0,68257.9362169803
computer network,11:08:50:360,What is Computer Network?  (Urdu/Hindi),_NGdZqAxq9I,(2017-10-22T09:43:11Z),PT3M24S,27960,567,23,0,27959.872139042218
computer network,11:08:50:632,#IP address most easiest way in Hindi | #Computer Network | Computer Science Teacher study material,_t5ICNA7i_c,(2020-04-17T03:30:04Z),PT46M14S,2208,69,3,0,2207.812603943026
computer network,11:08:51:020,computer network uses | part-2/2,CtRdJu2jBk8,(2018-04-20T09:58:05Z),PT12M35S,37440,237,15,0,37439.83268807287
computer network,11:08:51:268,star toplogy | computer network |,hSDgbCZ3R_M,(2018-04-23T17:05:16Z),PT6M4S,34761,252,18,0,34760.834481298756
computer network,11:08:51:632,Types of Delay in computer network,h411mZceR5A,(2019-03-17T14:19:07Z),PT2M58S,2225,71,2,0,2224.8128430398096
